"allele_freqs_filter$Chr_new","Da02_fw_allele_freq_Median","Mi17_fw_allele_freq_Median","Mi23_fw_allele_freq_Median","Da02_fw_allele_freq_Mean","Mi17_fw_allele_freq_Mean","Mi23_fw_allele_freq_Mean","Da02_fw_allele_freq_SD","Mi17_fw_allele_freq_SD","Mi23_fw_allele_freq_SD"
"groupI",0.02,0.02,0,0.0591176470588235,0.0620868347338936,0.0461507183518569,0.0817046996751968,0.0825181404361911,0.0794102460963724
"groupII",0.05,0.02,0,0.0713240418118467,0.0582926829268293,0.0460829493087558,0.0825997355206551,0.0775423054988529,0.0848398314477716
"groupIII",0.07,0.07,0.0645161290322581,0.101212121212121,0.104666666666667,0.0960899315738025,0.102307450785985,0.101941717766272,0.0952601120982925
"groupIV",0.02,0.02,0,0.0517293233082707,0.0442583732057416,0.0270875135051706,0.0747788568808668,0.0700984764365082,0.0711909562120202
"groupIX",0.03,0.04,0.032258064516129,0.078590021691974,0.0942516268980477,0.0782310545098314,0.101721951738227,0.109257044457791,0.10007991324421
"groupV",0.04,0.02,0.0161290322580645,0.0681818181818182,0.0629545454545455,0.0540322580645161,0.0845150746401373,0.0913815710729242,0.0872331218644138
"groupVI",0.085,0.105,0.0967741935483871,0.107291666666667,0.115208333333333,0.113239247311828,0.106390335598549,0.0970510355883539,0.0995905733905979
"groupVII",0.04,0.02,0,0.0573774954627949,0.0473049001814882,0.0317165271354136,0.0743761273623711,0.0712869599377426,0.0793168829902303
"groupVIII",0.02,0.03,0,0.0588992974238876,0.0652224824355972,0.0509556546045176,0.0918610742988357,0.0910070660230486,0.0915441818842371
"groupX",0.03,0.04,0.0161290322580645,0.0702173913043478,0.0827173913043478,0.0634642356241234,0.0850390879057745,0.0903738835149449,0.0945542532232291
"groupXI",0.03,0.03,0.0161290322580645,0.0734835355285962,0.0740381282495667,0.0648236149158607,0.0931871818273456,0.090635211696494,0.0988126992949653
"groupXII",0.04,0.02,0,0.0545192307692308,0.0434038461538462,0.0376240694789082,0.0645583753656354,0.0698011929428024,0.0734855443348966
"groupXIII",0.02,0.02,0,0.0604382470119522,0.070796812749004,0.0581544788587585,0.0860151566371574,0.0958757662279723,0.0923051548624907
"groupXIV",0.06,0.08,0.0725806451612903,0.0965384615384615,0.103269230769231,0.101116625310174,0.0933449141705551,0.0850310474749712,0.0947562852385409
"groupXIX",0.04,0.02,0,0.0748,0.069925,0.0565322580645161,0.0917087030523214,0.092510214162063,0.0895590643005982
"groupXV",0.065,0.07,0.104838709677419,0.1295,0.124,0.123387096774194,0.13937737489126,0.115138360702518,0.088074590367634
"groupXVI",0.02,0.04,0.0241935483870968,0.0736875,0.0799375,0.0692540322580645,0.0964046886500376,0.0950107367319064,0.0963097816342799
"groupXVII",0.045,0.03,0.032258064516129,0.0805952380952381,0.0889285714285714,0.0810291858678956,0.104054563889373,0.0985316028703464,0.0990146212945106
"groupXVIII",0.105,0.1,0.0967741935483871,0.130777777777778,0.133888888888889,0.121326164874552,0.111034236827274,0.108913886656462,0.0996676238566239
"groupXX",0.13,0.02,0.0161290322580645,0.11434188034188,0.0524102564102564,0.0404190791287566,0.0929093277968566,0.0771728794284849,0.0732046780912265
"groupXXI",0.03,0.02,0,0.0567411545623836,0.0502793296089385,0.0327386315852706,0.0729444306550531,0.0803265037365307,0.0773819925112581
"scaffold",0.03,0.02,0,0.0557404326123128,0.0613311148086522,0.0494337394664806,0.0840148350738082,0.0829531505143426,0.08806330796458
